"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name"
"5596","XLOC_005597",140.569,143.921,147.857,0,3.46947,4.73262,"PAH"
"5597","XLOC_005598",0.884079,0.795141,0.697436,0,0,0,"C12orf42"
"5598","XLOC_005599",602.942,559.779,588.636,1455.69,1264.62,1151.92,"NT5DC3"
"5599","XLOC_005600",11.493,9.54169,9.06667,12.0804,10.4084,0.946523,"GNN"
"5600","XLOC_005601",143.221,143.921,171.569,129.26,180.412,129.674,"C12orf73"
"5601","XLOC_005602",122.887,111.32,116.472,39.8653,31.2252,21.77,"GLT8D2"
"5602","XLOC_005603",1787.61,1689.67,1932.6,1767.36,1875.25,1267.39,"NFYB"
"5603","XLOC_005604",130.844,124.042,140.882,122.012,121.431,106.011,"SLC41A2"
"5604","XLOC_005605",470.33,438.918,354.995,71.2743,65.9199,63.4171,"ALDH1L2"
"5605","XLOC_005606",627.696,612.259,624.206,816.635,909,696.641,"APPL2"
"5606","XLOC_005607",902.645,898.509,944.329,2872.72,2681.9,2317.09,"NUAK1"
"5607","XLOC_005608",1841.54,1839.16,1939.57,2615.41,2728.74,2676.77,"CKAP4"
"5608","XLOC_005609",1.76816,0,2.09231,0,0,1.89305,"LOC100287944"
"5609","XLOC_005610",1.76816,4.77085,2.09231,1.20804,3.46947,0.946523,"LOC100505978"
"5610","XLOC_005611",172.395,145.511,173.662,215.031,268.884,215.807,"MTERFD3"
"5611","XLOC_005612",837.223,809.454,871.098,1144.01,1073.8,835.78,"CRY1"
