"","tracking_id","ES_1","ES_0","ES_2","DefEnd_1","DefEnd_0","DefEnd_2","gene_short_name","es_mean","de_mean","xlog2","tstat","p","Bonf_p"
"15049","XLOC_015050",1555.98,1638.79,1538.54,1020.79,862.163,755.326,"QTRTD1",1577.77,879.426333333333,-0.843252273252742,8.40505617687162,0.0138616507955415,1
"15407","XLOC_015408",204.222,199.58,159.016,78.5226,88.4714,146.711,"SCN5A",187.606,104.568333333333,-0.84325994565022,3.236181422751,0.0836747393843738,1
"16077","XLOC_016078",0.884079,1.59028,1.39487,1.20804,0,0.946523,"THEGL",1.289743,0.718187666666667,-0.844650833240294,1.35103777683324,0.309228250530345,1
"16074","XLOC_016075",19685.8,19035.7,19233.9,11751.8,11876,8625.67,"PAICS",19318.4666666667,10751.1566666667,-0.845488709046237,7.92822346955218,0.0155393364628464,1
"1346","XLOC_001346",9.72487,15.9028,10.4615,6.0402,1.73473,12.3048,"MYOM3",12.0297233333333,6.69324333333333,-0.845826093295552,1.46812017479594,0.279794557602108,1
"4526","XLOC_004526",0.884079,7.15627,3.48718,1.20804,5.2042,0,"MFRP",3.84250966666667,2.13741333333333,-0.846182965757858,0.709052506387256,0.551802749445003,1
"9280","XLOC_009281",4659.98,4882.96,5147.08,3253.25,2905.68,2010.42,"C1QBP",4896.67333333333,2723.11666666667,-0.8465431610612,5.48782723724366,0.0316373485926585,1
"7115","XLOC_007116",958.342,912.027,816.698,445.767,565.523,482.727,"APH1B",895.689,498.005666666667,-0.846835730075815,7.27020676050785,0.0183988361595231,1
"2474","XLOC_002474",94.5965,116.886,84.3898,36.2412,46.8378,81.401,"TSPAN15",98.6241,54.8266666666667,-0.847062465977451,2.62697613905919,0.119485243086575,1
"5831","XLOC_005832",783.294,866.704,910.852,507.377,541.237,374.823,"RNASEH2B",853.616666666667,474.479,-0.847244108405741,6.01191834095925,0.026570001314475,1
"3349","XLOC_003349",10.609,8.74655,6.27693,2.41608,5.2042,6.62566,"DKFZp686K1684",8.54416,4.74864666666667,-0.847422250190956,2.15475507002458,0.163979773283105,1
